player_name,pitch_type,stuffGrade,nPitches
Bryan Shaw,SL,50.42862199587336,232
Bryce Elder,CH,46.65099375879558,104
Bryce Elder,FC,39.95053007606032,160
Bryce Elder,SI,46.44515638489319,369
Bryce Elder,SL,45.21514038755056,234
Bryce Montes de Oca,FC,51.96042675354037,45
Bryce Montes de Oca,SI,58.396426788025146,20
Bryce Montes de Oca,SL,57.025305308729,19
Bryse Wilson,CH,41.70258933640504,549
Bryse Wilson,CU,47.902666135729724,398
Bryse Wilson,FF,41.36950355666811,1149
Bryse Wilson,SI,46.95010319199291,903
Bryse Wilson,SL,44.92392813951658,415
Bubby Rossman,FF,49.863461893204615,14
Buck Farmer,CH,54.196228936876985,495
Buck Farmer,FF,46.42073507916786,894
Buck Farmer,SL,56.427312216720665,504
Burch Smith,CH,48.895684536398775,112
Burch Smith,CU,43.240337213513065,127
Burch Smith,FF,53.034997095134386,577
Burch Smith,SL,47.80133418486498,15
Cade Cavalli,CH,56.70441723962427,13
Cade Cavalli,CU,50.45196308469513,33
Cade Cavalli,FF,46.16215478129087,40
Cade Cavalli,SL,45.578289761490026,11
Cal Quantrill,CH,47.74285462395157,761
Cal Quantrill,CU,48.80986816443361,246
Cal Quantrill,FC,47.0852990912552,1782
Cal Quantrill,FF,40.68444791133897,478
Cal Quantrill,SI,44.37683744557027,2560
Cal Quantrill,SL,56.1301354875353,293
Caleb Baragar,CU,48.4673387112422,48
Caleb Baragar,FF,58.43829711815828,547
Caleb Baragar,SL,55.56262824814,92
Caleb Ferguson,CU,48.08797324942801,189
Caleb Ferguson,FC,57.60957554476493,61
Caleb Ferguson,FF,51.12141732727938,628
Caleb Kilian,CU,44.59026291157992,21
Caleb Kilian,FC,45.47189657685691,55
Caleb Kilian,FF,42.277326757717496,51
Caleb Kilian,SI,47.67202571015865,106
Caleb Smith,CH,50.35751957902926,617
Caleb Smith,CU,43.39314068462037,214
Caleb Smith,FF,53.81654433471922,1692
Caleb Smith,SL,43.191055582257974,1039
Caleb Thielbar,CH,43.17583731064371,14
Caleb Thielbar,CU,41.16242045625766,519
Caleb Thielbar,FC,43.67203039838488,15
